#source: https://www.kaggle.com/nathanlauga/nba-games
SEASON|DATE|TEAM_home|TEAM_away|PTS_home|PTS_away|REB_home|REB_away|AST_home|AST_away|FG3_PCT_home|FG3_PCT_away
2019|2020-08-07|New Orleans Pelicans|Washington Wizards|118|107|45|40|25|22|34.3|37.0
2019|2020-08-07|Toronto Raptors|Boston Celtics|100|122|48|52|20|27|26.3|34.8
2019|2020-08-06|Sacramento Kings|New Orleans Pelicans|140|125|39|30|26|31|48.5|41.2
2019|2020-08-06|Milwaukee Bucks|Miami Heat|130|116|44|39|27|28|40.5|45.7
2019|2020-08-06|Phoenix Suns|Indiana Pacers|114|99|53|38|27|20|26.5|34.5
2019|2020-08-06|Dallas Mavericks|Los Angeles Clippers|111|126|37|45|24|22|35.4|45.2
2019|2020-08-06|Denver Nuggets|Portland Trail Blazers|115|125|44|39|30|30|50.0|59.0
2019|2020-08-06|Houston Rockets|Los Angeles Lakers|113|97|34|48|26|18|36.8|10.5
2019|2020-08-05|Utah Jazz|Memphis Grizzlies|124|115|46|41|25|21|40.0|37.9
2019|2020-08-05|Washington Wizards|Philadelphia 76ers|98|107|48|41|17|27|33.3|37.9
2019|2020-08-05|San Antonio Spurs|Denver Nuggets|126|132|35|46|29|31|36.7|38.9
2019|2020-08-05|Los Angeles Lakers|Oklahoma City Thunder|86|105|46|52|17|17|13.5|20.8
2019|2020-08-05|Orlando Magic|Toronto Raptors|99|109|43|44|26|25|26.8|36.4
2019|2020-08-05|Boston Celtics|Brooklyn Nets|149|115|43|34|29|23|51.3|25.0
2019|2020-08-04|Milwaukee Bucks|Brooklyn Nets|116|119|54|42|28|30|33.3|36.8
2019|2020-08-04|Sacramento Kings|Dallas Mavericks|110|114|47|61|26|22|37.2|22.0
2019|2020-08-04|Los Angeles Clippers|Phoenix Suns|115|117|48|44|21|25|27.6|53.1
2019|2020-08-04|Indiana Pacers|Orlando Magic|120|109|32|43|29|21|39.4|35.3
2019|2020-08-04|Miami Heat|Boston Celtics|112|106|42|45|22|15|34.9|30.3
2019|2020-08-04|Portland Trail Blazers|Houston Rockets|110|102|64|39|18|24|38.7|35.8
2019|2020-08-03|Miami Heat|Toronto Raptors|103|107|41|39|29|19|31.1|50.0
